ID,PRE_POST2010,Arrest_Year,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Lat,Long,Lon_Lat
1,PRE,2006,1-Jan-06,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 120150H,M,S,120,18-24,M,WHITE,40.64173826,-74.07567804,POINT (-74.07567803700002 40.641738260000075)
2,PRE,2006,6-Jan-06,205,"TRESPASS 2, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100H,M,S,120,25-44,M,BLACK,40.62314011,-74.08284714,POINT (-74.08284714199993 40.623140111000055)
3,PRE,2006,7-Jan-06,205,"TRESPASS 2, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100H,M,S,120,25-44,M,WHITE,40.62980479,-74.16038472,POINT (-74.160384724 40.62980479200007)
4,PRE,2006,24-Jan-06,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 120200H,F,S,123,18-24,M,WHITE,40.54331052,-74.16423208,POINT (-74.16423207799994 40.54331052300005)
5,PRE,2006,24-Jan-06,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 120200H,F,S,123,18-24,M,WHITE,40.54331052,-74.16423208,POINT (-74.16423207799994 40.54331052300005)
6,PRE,2006,27-Jan-06,205,"TRESPASS 2, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100H,M,S,120,25-44,M,WHITE HISPANIC,40.61549122,-74.08165623,POINT (-74.08165622999996 40.61549122300004)
7,PRE,2006,27-Jan-06,205,"TRESPASS 2, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100H,M,S,120,25-44,F,WHITE HISPANIC,40.61549122,-74.08165623,POINT (-74.08165622999996 40.61549122300004)
8,PRE,2006,3-Feb-06,205,"TRESPASS 2, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100H,M,S,120,25-44,M,WHITE HISPANIC,40.62855177,-74.07647007,POINT (-74.07647006499998 40.62855177000005)
9,PRE,2006,6-Feb-06,204,"TRESPASS 1,CRIMINAL",126,MISCELLANEOUS PENAL LAW,PL 140150H,F,S,120,25-44,F,WHITE,40.62179547,-74.08242401,POINT (-74.08242401199995 40.62179546700002)
10,PRE,2006,6-Feb-06,204,"TRESPASS 1,CRIMINAL",126,MISCELLANEOUS PENAL LAW,PL 140150H,F,S,120,25-44,F,WHITE,40.62179547,-74.08242401,POINT (-74.08242401199995 40.62179546700002)
