FID_1,CB2010,BoroCode,BoroName,CT2010,BCTCB2010,Shape_Leng,Shape_Area,Count_,AboveAverage
0,1000,5,Staten Island,900,50009001000,2508.947936,244589.5718,0,0
1,1000,5,Staten Island,2001,50020011000,1345.886421,111006.2577,0,0
2,1000,5,Staten Island,2700,50027001000,1703.381172,150406.766,0,0
3,1000,5,Staten Island,4000,50040001000,1511.173743,141296.5611,0,0
4,1000,5,Staten Island,6400,50064001000,1978.243899,200784.9821,0,0
5,1000,5,Staten Island,7400,50074001000,1540.875504,139084.0214,0,0
6,1000,5,Staten Island,7500,50075001000,1412.643184,123560.5501,1,1
7,1000,5,Staten Island,7700,50077001000,2421.03718,205770.9409,0,0
8,1000,5,Staten Island,11201,50112011000,1943.02902,196112.2849,0,0
9,1000,5,Staten Island,11202,50112021000,1233.682152,92737.7479,0,0
10,1000,5,Staten Island,11401,50114011000,1094.120067,66684.09638,0,0
11,1000,5,Staten Island,11402,50114021000,1942.556759,183061.3373,0,0
12,1000,5,Staten Island,12100,50121001000,1793.986645,170250.765,0,0
13,1000,5,Staten Island,12200,50122001000,1587.811128,139819.2169,0,0
14,1000,5,Staten Island,12500,50125001000,1934.120658,215177.9275,0,0
15,1000,5,Staten Island,13201,50132011000,4338.685946,880690.0967,0,0
16,1000,5,Staten Island,13400,50134001000,1076.670462,43232.19114,0,0
17,1000,5,Staten Island,13800,50138001000,1351.102499,110567.3602,0,0
18,1000,5,Staten Island,14605,50146051000,1766.454306,159883.051,0,0
19,1000,5,Staten Island,14607,50146071000,2316.414473,305282.1551,0,0
20,1000,5,Staten Island,14608,50146081000,2688.759782,400307.6277,0,0
21,1000,5,Staten Island,15603,50156031000,1941.242223,164263.4759,0,0
22,1000,5,Staten Island,16901,50169011000,2111.303257,203357.9446,0,0
23,1000,5,Staten Island,17005,50170051000,2457.60015,121457.4017,0,0
24,1000,5,Staten Island,17011,50170111000,1705.532768,153304.8294,0,0
25,1000,5,Staten Island,17300,50173001000,1392.506552,118085.8897,0,0
26,1000,5,Staten Island,18701,50187011000,1955.146098,169658.1089,0,0
27,1000,5,Staten Island,18901,50189011000,1436.410171,109506.9727,0,0
28,1000,5,Staten Island,19700,50197001000,1099.138528,64399.61873,0,0
29,1000,5,Staten Island,20700,50207001000,776.1719453,19784.38734,0,0
30,1000,5,Staten Island,20801,50208011000,954.6517057,55427.06084,0,0
31,1000,5,Staten Island,21300,50213001000,2020.981937,210828.9169,0,0
32,1000,5,Staten Island,22600,50226001000,7407.16737,581749.0131,0,0
33,1000,5,Staten Island,24401,50244011000,2330.586565,229143.5623,0,0
34,1000,5,Staten Island,27302,50273021000,3834.15681,501412.3158,0,0
35,1000,5,Staten Island,27702,50277021000,582.2057156,20894.93121,0,0
36,1000,5,Staten Island,27705,50277051000,2681.496403,310745.3684,0,0
37,1001,5,Staten Island,600,50006001001,983.8527747,34583.79132,0,0
38,1001,5,Staten Island,900,50009001001,2205.558752,252525.7002,0,0
