FID_1,fire_bn,fire_co_nu,fire_co_ty,fire_div,shape_area,shape_leng,count,AboveAverage
0,21,159,E,8,36389059.98,31362.27111,22,1
1,23,76,L,8,62263417.25,45717.3714,13,1
2,22,86,L,8,47464337.56,28871.85896,5,0
3,22,8,Q,8,151363847.9,66766.48166,2,0
4,23,82,L,8,41908424.35,36369.17012,8,0
5,23,151,E,8,75247717.87,46856.49743,1,0
6,23,168,E,8,64458429.05,42775.5109,4,0
7,23,84,L,8,52796003.73,53798.23902,2,0
8,21,153,E,8,29218411.42,27464.65608,26,1
9,21,77,L,8,15440463.69,27080.81989,12,1
10,22,158,E,8,96959784.92,61672.76023,20,1
11,22,166,E,8,47337728.63,32942.04352,18,1
12,21,78,L,8,18169064.8,36381.30372,18,1
13,21,161,E,8,29522812.2,27511.51413,4,0
14,21,81,L,8,55076908.88,42346.25149,8,0
15,23,164,E,8,76050038.69,44286.29782,3,0
16,23,162,E,8,54851826.37,77746.23032,3,0
17,23,165,E,8,54648066.62,34351.7605,6,0
18,23,167,E,8,73132816.2,37256.27115,7,0
19,23,85,L,8,110526491.1,59879.72668,4,0
20,21,155,E,8,20088383.04,27337.59296,69,1
21,22,156,E,8,46214855.8,34014.88809,20,1
22,22,80,L,8,28773399.43,29343.07488,10,0
23,22,163,E,8,40210686.66,29148.63419,5,0
24,22,157,E,8,17048401.22,23569.97299,11,0
25,22,83,L,8,68605518.21,40380.94913,13,1
26,22,79,L,8,22991434.68,37342.95512,17,1
27,23,87,L,8,93256700,92699.97549,7,0
28,21,160,E,8,50125047.9,43013.1627,4,0
29,21,152,E,8,32844188.89,33636.14029,6,0
