FID_1,elect_dist,shape_area,shape_leng,count,AboveAverage
0,63077,2709338.109,6529.701874,214,0
1,61008,1317160.693,5745.714932,547,1
2,61007,1869264.373,9683.506416,3415,1
3,61001,3783858.353,15865.88769,1571,1
4,61002,1859651.774,5874.324971,900,1
5,61003,1842305.811,6651.742167,1441,1
6,61004,1730181.022,5462.748463,965,1
7,61005,1794327.427,7610.609257,940,1
8,61006,1358802.971,6969.294281,227,0
9,63078,1222818.356,5024.142535,76,0
10,61009,3594691.332,8885.048049,420,1
11,61010,2863632.26,9406.435855,1154,1
12,61011,6419034.82,13772.32751,510,1
13,61012,4136904.331,9059.666271,422,1
14,61013,2182404.565,8111.144349,467,1
15,61014,2650470.584,8646.104502,738,1
16,61015,2266428.957,6025.513958,437,1
17,61021,4246161.701,10557.2779,1091,1
18,61016,5841508.212,21595.32101,1139,1
19,61017,5187057.094,13323.16561,1041,1
20,61018,2381652.606,6445.606997,1344,1
21,61019,2583828.443,8871.949244,1504,1
22,61020,2521180.042,8520.014185,662,1
23,61022,4712305.665,11546.29727,835,1
24,61023,2215064.758,8475.662598,825,1
25,61024,2758629.409,10066.81538,534,1
26,61025,4319502.754,12508.60564,773,1
27,61026,5534320.226,14872.93921,749,1
28,61033,3121775.144,11699.69486,574,1
29,61027,3883909.14,16281.65206,876,1
30,61028,2145859.082,6072.264486,329,0
31,61029,2272808.736,9244.61017,160,0
32,61030,3471176.117,10629.90027,779,1
33,61031,3068330.45,11033.5214,454,1
34,61032,2344788.869,7128.494418,520,1
35,61064,284429.0374,2582.892121,194,0
36,63053,2794074.547,7808.655818,307,0
37,61034,3292890.216,12538.45957,426,1
38,61035,2792786.513,8723.623192,117,0
39,61036,1549948.48,5357.875232,68,0
40,61037,6170465.875,14027.07696,453,1
41,61038,4224878.411,13251.58718,332,0
42,61039,2409123.814,6460.61559,159,0
43,61040,3615101.834,9397.988303,254,0
44,61041,2951294.727,7259.776447,113,0
45,61042,2986623.089,7405.288761,322,0
46,61043,4058604.718,10960.87479,158,0
47,61044,2299357.002,6971.878703,373,0
48,61045,2397415.321,14405.19242,238,0
49,61046,3575382.913,11634.29218,306,0
50,61047,2670841.167,10582.69186,212,0
51,61048,3206328.34,10797.14633,161,0
52,61049,3662511.056,10969.31057,680,1
53,61050,1438479.077,6974.571242,835,1
54,61051,2165840.712,6577.470441,348,0
55,61052,5383791.002,10976.96987,304,0
56,61053,1108511.976,4139.272704,2012,1
57,61054,5068476.607,17289.18496,840,1
58,61055,2415691.593,8152.828221,1717,1
59,61072,1722795.438,7702.521055,508,1
60,61056,3418390.455,11341.34123,1021,1
61,61057,4709135.924,13636.09572,575,1
62,61058,540038.1659,3983.550221,1388,1
63,61059,733658.1643,3761.912408,186,0
64,61060,1653091.535,10175.62411,825,1
65,61061,1418338.573,8439.26934,889,1
66,61062,2338398.216,7098.378471,372,0
67,61063,2075500.6,11914.38049,177,0
68,61065,3872544.359,12588.21282,2045,1
69,61066,1333838.208,10114.77929,98,0
70,61067,3884764.234,9394.846569,523,1
71,61068,3218706.285,11206.00328,1321,1
72,61069,2585595.872,11018.43404,515,1
73,61070,721333.2939,3426.121628,2206,1
74,61071,2879145.539,10019.81363,158,0
75,61073,1757801.331,9791.373562,1022,1
76,61074,1377520.336,5211.729978,1082,1
77,61075,2471534.853,9131.267944,645,1
78,61076,2797934.312,9740.395005,978,1
79,61077,1375949.263,5365.185629,942,1
80,61078,2153644.88,7119.352549,713,1
81,61079,721999.0464,3480.734318,0,0
82,62012,3430127.26,7678.465162,113,0
83,62018,3465785.889,11948.4679,191,0
84,62001,6507520.087,13477.88201,372,0
85,62002,4085912.462,14968.56054,219,0
86,62013,7388971.266,13908.3121,202,0
87,62003,4400781.332,12558.2008,144,0
88,62004,4249283.627,9289.958901,430,1
89,62005,8649329.294,17651.07197,413,1
90,62014,2180456.552,6181.663509,273,0
91,62019,4769924.347,8879.309269,260,0
92,62006,3989727.424,12518.46175,521,1
93,62007,4746167.949,12108.72968,237,0
94,62008,16292653.27,17758.77741,321,0
95,62009,58789535.54,40107.81178,287,0
96,62015,4581588.474,9772.943319,205,0
97,62016,1954402.935,6984.681489,209,0
98,62010,32089242.81,34969.39651,264,0
99,62011,5695691.796,12209.86273,149,0
100,62017,1893904.153,5757.310583,142,0
101,62020,3984739.595,10620.25514,248,0
102,62021,3314276.442,7776.657518,105,0
103,62022,2486275.212,7607.079494,163,0
104,62023,2814626.882,6975.07679,118,0
105,62024,1322779.315,5562.584512,461,1
106,62025,3870433.575,12820.74046,143,0
107,62026,1635343.825,5669.266299,205,0
108,62027,4984834.556,13518.46769,194,0
109,62028,2993692.141,9659.84951,274,0
110,62052,2595761.059,6849.947864,198,0
111,62029,7116772.539,12013.22947,256,0
112,62030,6467231.01,11688.91715,166,0
113,62031,17219417.41,25725.23866,249,0
114,62032,5234080.736,13440.32431,182,0
115,62053,2148856.858,7305.713948,173,0
116,62033,15328292.24,19855.54173,223,0
117,62034,15134719.14,19966.06105,232,0
118,62035,4335362.661,9332.879527,184,0
119,62054,9594711.636,15552.94357,255,0
120,62036,3910056.667,9495.285739,148,0
121,62037,5989714.828,12792.29886,120,0
122,62038,3055621.727,7720.130802,145,0
123,62039,3537601.393,8378.318806,84,0
124,62040,4164604.946,13887.2753,236,0
125,62041,3897902.359,12291.85818,408,1
126,62042,4549055.044,16852.29836,225,0
127,62043,2484723.213,7931.084339,140,0
128,62044,2516337.835,8983.773454,109,0
129,62045,3370593.135,10618.33755,121,0
130,62046,2231592.339,7100.60481,182,0
131,62047,2735569.844,7784.213447,472,1
132,62048,3307702.099,8869.378035,270,0
133,62049,2485448.303,8491.120816,124,0
134,62050,2485059.253,6913.938871,153,0
135,62051,2444985.976,7883.546197,376,0
136,62055,3431661.235,8172.163128,236,0
137,62056,3273353.61,9305.003906,318,0
138,62057,2587840.341,9246.441284,218,0
139,62058,3546017.47,10588.35651,331,0
140,62059,6358893.872,12649.36689,265,0
141,62060,1748811.751,7625.759862,264,0
142,62061,9143849.882,21548.95198,208,0
143,62062,3586635.886,11187.33599,247,0
144,62063,2374790.426,6954.910091,196,0
145,62064,6417650.923,14306.44061,161,0
146,62065,4470324.505,10994.09584,209,0
147,62066,4684603.83,11596.08927,236,0
148,62067,2112667.763,7641.794651,158,0
149,62068,2437809.356,7771.571168,171,0
150,62069,3465474.388,8969.674972,299,0
151,62070,19474403.85,27030.89541,137,0
152,62071,3345475.167,9309.338573,139,0
153,62085,3196697.841,9373.35038,146,0
154,62086,2036931.05,6776.985676,114,0
155,62088,38844.73949,1355.246541,0,0
156,62072,22381175.73,21386.96054,143,0
157,62073,2776648.502,11893.23324,163,0
158,62074,3522880.893,7538.485252,147,0
159,62075,3671020.715,10035.89643,146,0
160,62076,5019067.951,11471.62442,264,0
161,62077,4823093.86,11413.49875,204,0
162,63001,2814882.746,9226.813674,274,0
163,62078,7991235.891,17962.45442,199,0
164,62079,3048578.325,7112.91068,174,0
165,62080,3511973.36,9350.533122,214,0
166,62081,3362925.445,11486.7812,249,0
167,62082,2607526.104,6408.164796,142,0
168,62083,13625180.29,19136.76186,310,0
169,62084,6608301.845,13866.87131,176,0
170,63002,4665964.172,16076.37616,177,0
171,63003,1236579.329,4424.630994,138,0
172,63004,2140718.969,7527.138874,160,0
173,63005,1786279.563,7108.801062,179,0
174,63006,1930265.847,6758.377473,109,0
175,63007,1274776.399,4915.826731,144,0
176,63008,58656300.7,47892.52806,205,0
177,63009,414001.6121,3046.079749,8,0
178,63010,3441380.91,8947.932041,154,0
179,63011,55881916.56,45721.45457,272,0
180,63012,1918175.647,6246.397043,271,0
181,63013,2323411.486,12087.51696,307,0
182,63014,1784230.568,6505.600228,239,0
183,63015,2511986.748,6732.870899,480,1
184,63016,2676991.894,6981.406889,418,1
185,63017,5263883.64,12169.34418,127,0
186,63018,52327678.59,45507.9305,440,1
187,63019,85919568.04,47589.54744,271,0
188,63025,7453164.777,11851.68798,136,0
189,63026,2278876.394,7365.866822,213,0
190,63027,7642099.761,13280.11431,271,0
191,63020,23039266.08,19937.99418,83,0
192,63021,2774204.347,8700.288204,178,0
193,63022,2303555.254,9074.090805,191,0
194,63023,1846695.9,7160.665097,294,0
195,63024,28116287.88,24723.57998,300,0
196,63028,2104805.043,5808.662077,215,0
197,63029,10684260.8,15135.75367,286,0
198,63030,3454535.478,8756.57108,513,1
199,63031,4869017.37,14457.71435,318,0
200,63032,3278402.306,11165.87508,322,0
201,63033,6773129.831,20036.35139,310,0
202,63034,3691269.57,10380.21013,183,0
203,63035,3547160.212,7722.679584,349,0
204,63075,627894.1616,3258.862223,1644,1
205,63036,2789073.804,6765.463289,357,0
206,63037,2713164.789,10413.94812,577,1
207,63038,5431636.516,14370.05569,328,0
208,63039,1576368.906,5889.90251,361,0
209,63040,10901986.45,17691.10291,416,1
210,63041,1183271.774,5495.882999,405,1
211,63042,1503112.247,7327.430221,577,1
212,63049,3890263.83,11891.303,257,0
213,63043,3458132.287,16175.55619,767,1
214,63044,28754046.22,35301.50348,737,1
215,63045,2097810.453,8683.080747,977,1
216,63046,4029072.611,12759.98777,213,0
217,63047,3169740.423,8287.049784,318,0
218,63048,11590385.52,17490.54269,136,0
219,63050,2741040.46,9588.845919,167,0
220,63051,5359348.651,14375.24805,145,0
221,63052,3940837.771,10722.64829,107,0
222,63054,15565190.76,22099.14045,225,0
223,63055,3545721.757,8264.920709,200,0
224,63056,1705019.126,6693.96858,218,0
225,63057,2715337.697,9292.731434,120,0
226,63058,3095908.851,8109.684534,160,0
227,63059,3146497.218,7383.85792,486,1
228,63060,1980796.404,5624.079408,156,0
229,63061,11752288.58,18430.39534,365,0
230,63062,2122153.417,6770.392286,92,0
231,63063,3829734.013,9347.566105,447,1
232,63064,2533137.29,8923.440564,231,0
233,63065,2892044.544,7917.790677,369,0
234,63066,2272550.769,7701.424744,276,0
235,63067,2396695.294,8764.483164,275,0
236,63068,1081726.73,5335.20669,63,0
237,63076,2777952.604,9463.795102,211,0
238,63069,3721333.744,11776.92196,257,0
239,63070,8851206.585,18332.82858,138,0
