FID_1,boro,boro_text,creat_date,dbn,edit_date,initials,label,msid_no,remarks,schooldist,shape_area,shape_leng,zoned_dist,count,AboveAverage
0,5,R,,,,EP,,1,island,31,3472001.492,7796.095007,31,0,0
1,5,R,7/27/2001,31R034,,EP,34,3,,31,193870366.8,77010.47154,31,5804,0
2,5,R,7/27/2001,31R002,,EP,2,7,,31,119574611.9,50813.09627,31,10906,1
3,5,R,7/27/2001,31R049,,EP,49,9,,31,121994006,56096.82686,31,21411,1
4,5,R,7/27/2001,31R061,,EP,61,10,,31,82210664.68,58000.73659,31,20447,1
5,5,R,7/27/2011,31R051,,ST,51,362,,31,146446673.4,81808.31934,31,17910,1
6,5,R,7/27/2011,31R861,,EP,861,363,,31,11515187.45,18646.71662,31,1368,0
7,5,R,7/27/2001,31R007,,EP,7,4,,31,154474020,67038.80841,31,5763,0
8,5,R,7/27/2001,31R075,,EP,75,5,,31,147491823.8,64205.95785,31,5589,0
9,5,R,7/27/2001,31R072,,ST,72,8,,31,295935022,91486.88268,31,9080,0
10,5,R,7/27/2001,31R024,,EP,24,6,,31,230366214.9,115816.7653,31,7193,0
11,5,R,7/27/2011,31R027,,EP,27,364,,31,106006120.3,73803.5127,31,15431,1
