Entity,Code,Year,Population
France,FRA,1919,38836732
France,FRA,1918,38932952
France,FRA,1920,39069936
France,FRA,1943,39190212
France,FRA,1944,39290440
France,FRA,1921,39310488
France,FRA,1917,39328984
France,FRA,1942,39424084
France,FRA,1922,39604500
France,FRA,1945,39721432
France,FRA,1923,39961988
France,FRA,1916,39975432
France,FRA,1941,40092288
France,FRA,1946,40316136
France,FRA,1924,40359568
France,FRA,1925,40690332
France,FRA,1915,40705028
France,FRA,1901,40706904
France,FRA,1947,40787220
France,FRA,1902,40789608
France,FRA,1903,40843224
France,FRA,1904,40900292
France,FRA,1926,40900816
France,FRA,1940,40927544
France,FRA,1905,40958592
France,FRA,1906,41025020
France,FRA,1927,41047820
France,FRA,1907,41066652
France,FRA,1908,41135004
France,FRA,1928,41168096
France,FRA,1948,41184804
France,FRA,1909,41209572
France,FRA,1914,41231120
France,FRA,1910,41294568
France,FRA,1911,41383848
France,FRA,1929,41391944
France,FRA,1912,41465112
France,FRA,1913,41523004
France,FRA,1949,41569624
France,FRA,1930,41662568
France,FRA,1939,41716024
France,FRA,1950,41834000
France,FRA,1931,41873056
France,FRA,1932,41966604
France,FRA,1933,41996672
France,FRA,1934,42023400
France,FRA,1936,42023400
France,FRA,1938,42026740
France,FRA,1935,42030080
France,FRA,1937,42030080
France,FRA,1951,42031000
France,FRA,1952,42316000
France,FRA,1953,42655000
France,FRA,1954,43025000
France,FRA,1955,43411000
France,FRA,1956,43809000
France,FRA,1957,44221000
France,FRA,1958,44659000
France,FRA,1959,45138000
France,FRA,1960,45673000
France,FRA,1961,46267000
France,FRA,1962,46907000
France,FRA,1963,47561000
France,FRA,1964,48184000
France,FRA,1965,48747000
France,FRA,1966,49233000
France,FRA,1967,49651000
France,FRA,1968,50025000
France,FRA,1969,50387000
France,FRA,1970,50764000
France,FRA,1971,51163000
France,FRA,1972,51573000
France,FRA,1973,51980000
France,FRA,1974,52357000
France,FRA,1975,52689000
France,FRA,1976,52969000
France,FRA,1977,53209000
France,FRA,1978,53423000
France,FRA,1979,53637000
France,FRA,1980,53868000
France,FRA,1981,54121000
France,FRA,1982,54391000
France,FRA,1983,54675000
France,FRA,1984,54965000
France,FRA,1985,55255000
France,FRA,1986,55545000
France,FRA,1987,55838000
France,FRA,1988,56126000
Germany,DEU,1901,56263936
France,FRA,1989,56404000
France,FRA,1990,56667000
France,FRA,1991,56914000
Germany,DEU,1902,57133064
France,FRA,1992,57147000
France,FRA,1993,57370000
France,FRA,1994,57587000
France,FRA,1995,57802000
Germany,DEU,1903,58011692
France,FRA,1996,58012000
France,FRA,1997,58221000
France,FRA,1998,58444000
France,FRA,1999,58704000
Germany,DEU,1904,58891708
France,FRA,2000,59015000
France,FRA,2001,59384000
Germany,DEU,1905,59778544
France,FRA,2002,59803000
France,FRA,2003,60252000
Germany,DEU,1906,60668248
France,FRA,2004,60698000
France,FRA,2005,61120000
France,FRA,2006,61509000
Germany,DEU,1907,61550144
France,FRA,2007,61869000
France,FRA,2008,62209000
Germany,DEU,1908,62436736
Germany,DEU,1920,62437800
France,FRA,2009,62543000
France,FRA,2010,62880000
Germany,DEU,1921,62899396
France,FRA,2011,63222000
Germany,DEU,1909,63350672
Germany,DEU,1922,63381464
France,FRA,2012,63564000
Germany,DEU,1919,63687828
Germany,DEU,1923,63764928
France,FRA,2013,63894000
France,FRA,2014,64194000
Germany,DEU,1924,64196844
Germany,DEU,1910,64213148
France,FRA,2015,64453000
Germany,DEU,1925,64648204
France,FRA,2016,64668000
France,FRA,2017,64843000
France,FRA,2018,64991000
Germany,DEU,1926,65100588
Germany,DEU,1911,65100920
France,FRA,2019,65130000
Germany,DEU,1918,65348956
Russia,RUS,1901,65434412
Germany,DEU,1927,65519196
Germany,DEU,1912,65863880
Germany,DEU,1928,65897548
Russia,RUS,1902,66028360
Germany,DEU,1929,66259520
Germany,DEU,1930,66610920
Russia,RUS,1903,66637088
Germany,DEU,1913,66651200
Germany,DEU,1931,66944240
Germany,DEU,1917,67242968
Russia,RUS,1904,67251424
Germany,DEU,1932,67265952
Germany,DEU,1914,67278504
Germany,DEU,1946,67472704
Germany,DEU,1916,67558520
Germany,DEU,1947,67573344
Germany,DEU,1933,67602344
Germany,DEU,1915,67648792
Russia,RUS,1905,67871424
Germany,DEU,1934,67996384
Germany,DEU,1935,68447408
Russia,RUS,1906,68497136
Germany,DEU,1948,68703624
Germany,DEU,1945,68759232
Germany,DEU,1936,68932544
Russia,RUS,1907,69114992
Germany,DEU,1949,69482160
Germany,DEU,1937,69508088
Russia,RUS,1908,69752168
Germany,DEU,1950,69966000
Germany,DEU,1938,70168920
Germany,DEU,1951,70300000
Russia,RUS,1909,70395224
Germany,DEU,1952,70620000
Germany,DEU,1944,70715128
Germany,DEU,1939,70852616
Germany,DEU,1953,70930000
Russia,RUS,1910,71044208
Germany,DEU,1954,71233000
Germany,DEU,1940,71427816
Germany,DEU,1955,71537000
Russia,RUS,1911,71695136
Germany,DEU,1956,71851000
Germany,DEU,1941,71955936
Germany,DEU,1943,72023152
Germany,DEU,1942,72152448
Germany,DEU,1957,72183000
Russia,RUS,1912,72356096
Germany,DEU,1958,72548000
Germany,DEU,1959,72955000
Russia,RUS,1913,73023160
Germany,DEU,1960,73414000
Russia,RUS,1914,73696368
Germany,DEU,1961,73928000
Russia,RUS,1915,74375784
Germany,DEU,1962,74489000
Russia,RUS,1916,75061464
Germany,DEU,1963,75081000
Germany,DEU,1964,75677000
Russia,RUS,1917,75753464
Germany,DEU,1965,76258000
Russia,RUS,1918,76453416
Germany,DEU,1966,76820000
Russia,RUS,1919,77159440
Germany,DEU,1967,77357000
Germany,DEU,1984,77682000
Germany,DEU,1985,77692000
Germany,DEU,1983,77770000
Germany,DEU,1986,77806000
Germany,DEU,1968,77847000
Russia,RUS,1920,77871984
Germany,DEU,1982,77926000
Germany,DEU,1987,78016000
Germany,DEU,1981,78108000
Germany,DEU,1969,78261000
Germany,DEU,1980,78283000
Germany,DEU,1988,78308000
Germany,DEU,1979,78438000
Germany,DEU,1978,78574000
Germany,DEU,1970,78578000
Russia,RUS,1921,78591112
Germany,DEU,1989,78660000
Germany,DEU,1977,78687000
Germany,DEU,1976,78782000
Germany,DEU,1971,78790000
Germany,DEU,1975,78856000
Germany,DEU,1972,78902000
Germany,DEU,1974,78910000
Germany,DEU,1973,78932000
Germany,DEU,1990,79054000
Russia,RUS,1922,79316880
Germany,DEU,1991,79491000
Germany,DEU,1992,79963000
Russia,RUS,1923,80049344
Germany,DEU,1993,80429000
Russia,RUS,1924,80788576
Germany,DEU,2010,80827000
Germany,DEU,1994,80833000
Germany,DEU,2011,80856000
Germany,DEU,2009,80900000
Germany,DEU,2012,80973000
Germany,DEU,2008,81066000
Germany,DEU,1995,81139000
Germany,DEU,2013,81174000
Germany,DEU,2007,81278000
Germany,DEU,1996,81324000
Germany,DEU,1999,81390000
Germany,DEU,1997,81399000
Germany,DEU,2000,81401000
Germany,DEU,1998,81403000
Germany,DEU,2014,81450000
Germany,DEU,2001,81454000
Germany,DEU,2006,81472000
Russia,RUS,1925,81534632
Germany,DEU,2002,81535000
Germany,DEU,2005,81603000
Germany,DEU,2003,81614000
Germany,DEU,2004,81646000
Germany,DEU,2015,81787000
Germany,DEU,2016,82194000
Russia,RUS,1926,82287584
Germany,DEU,2017,82658000
Russia,RUS,1927,83047480
Germany,DEU,2018,83124000
Germany,DEU,2019,83517000
Russia,RUS,1928,83814400
Russia,RUS,1929,84588400
Russia,RUS,1930,85369552
Russia,RUS,1931,86157912
Russia,RUS,1932,86953552
Russia,RUS,1933,87756544
Russia,RUS,1934,88566944
Russia,RUS,1935,89384840
Russia,RUS,1936,90210280
Russia,RUS,1937,91043344
Russia,RUS,1938,91884104
Russia,RUS,1939,92732624
Russia,RUS,1940,93588984
Russia,RUS,1941,94453248
Russia,RUS,1942,95325496
Russia,RUS,1943,96205792
Russia,RUS,1944,97094224
Russia,RUS,1945,97990864
Russia,RUS,1946,98895776
Russia,RUS,1947,99809056
Russia,RUS,1948,100730760
Russia,RUS,1949,101660976
Russia,RUS,1950,102799000
Russia,RUS,1951,104305000
Russia,RUS,1952,105967000
Russia,RUS,1953,107727000
Russia,RUS,1954,109537000
Russia,RUS,1955,111355000
Russia,RUS,1956,113154000
Russia,RUS,1957,114914000
Russia,RUS,1958,116622000
Russia,RUS,1959,118276000
Russia,RUS,1960,119872000
Russia,RUS,1961,121404000
Russia,RUS,1962,122858000
Russia,RUS,1963,124210000
Russia,RUS,1964,125431000
Russia,RUS,1965,126504000
Russia,RUS,1966,127417000
Russia,RUS,1967,128187000
Russia,RUS,1968,128860000
Russia,RUS,1969,129498000
Russia,RUS,1970,130149000
Russia,RUS,1971,130831000
Russia,RUS,1972,131540000
Russia,RUS,1973,132276000
Russia,RUS,1974,133032000
Russia,RUS,1975,133805000
Russia,RUS,1976,134596000
Russia,RUS,1977,135412992
Russia,RUS,1978,136260000
Russia,RUS,1979,137139008
Russia,RUS,1980,138052992
Russia,RUS,1981,138994000
Russia,RUS,1982,139955008
Russia,RUS,1983,140936000
Russia,RUS,1984,141938000
Russia,RUS,1985,142956992
Russia,RUS,2008,143248992
Russia,RUS,2007,143266000
Russia,RUS,2009,143327008
Russia,RUS,2006,143403008
Russia,RUS,2010,143479008
Russia,RUS,2005,143672000
Russia,RUS,2011,143703008
Russia,RUS,2012,143994000
Russia,RUS,1986,143995008
Russia,RUS,2004,144080992
Russia,RUS,2013,144324992
Russia,RUS,2003,144611008
Russia,RUS,2014,144664992
Russia,RUS,2015,144984992
Russia,RUS,1987,145032992
Russia,RUS,2002,145216000
Russia,RUS,2016,145275008
Russia,RUS,2017,145530000
Russia,RUS,2018,145734000
Russia,RUS,2001,145831008
Russia,RUS,2019,145872000
Russia,RUS,1988,146012992
Russia,RUS,2000,146404992
Russia,RUS,1989,146864000
Russia,RUS,1999,146916000
Russia,RUS,1998,147360992
Russia,RUS,1990,147532000
Russia,RUS,1997,147730000
Russia,RUS,1991,147996000
Russia,RUS,1996,148020992
Russia,RUS,1995,148227008
Russia,RUS,1992,148268992
Russia,RUS,1994,148348992
Russia,RUS,1993,148374000
